,Expected Returns
RHI,0.09604902954804606
RJF,0.15944938586242596
RL,0.033327714214464566
RMD,0.11919656456827399
ROK,0.14129477104320665
ROL,0.13617876739852286
ROP,0.09842498723617354
ROST,0.08536248338805463
RSG,0.1736279947167676
RTX,-0.09938910221449526
RVTY,-0.22790179687827175
SBAC,0.05113830198021141
SBUX,0.05642727116610047
SCHW,0.10869049896109306
SHW,0.17788006733805872
SJM,0.02648326735979034
SLB,0.07277945293737642
SNA,0.1441168894418703
SNPS,0.3664444211911204
SO,0.09316507006311259
SPG,-0.01443414670562615
SPGI,0.16745094891404144
SRE,0.0781295666499704
STLD,0.34796041823799384
STT,0.0524814591912266
STX,0.4296008860241072
STZ,0.04388999250808867
SWK,-0.07534757846603723
SWKS,0.06094735075756841
SYF,0.041924960581998905
SYK,0.1137851322088208
SYY,0.02509770376704412
T,0.006866781782128628
TAP,0.031325500356363944
TDG,0.20350243070812768
TEL,0.10146890162775901
TER,0.19032539534962134
TFC,0.008088073094614456
TFX,-0.022798103070399638
TGT,0.16021740182147926
TJX,0.13444937293320214
TMO,0.1516861688107054
TMUS,0.1818024958172777
TPR,0.053781917594760476
TRGP,0.20925724234457888
TRMB,0.06046710961774804
TROW,0.020054098308299517
TRV,0.0785513263721318
TSCO,0.18330136328185231
TSLA,0.8105996672223392
TSN,-0.05381370561324294
TT,0.23790543906694528
TXN,0.10097999958545212
TXT,0.09525624397924104
UAL,-0.1498148691043144
UDR,-0.012842629700712371
UHS,0.046683154145424455
ULTA,0.08501179048129215
UNH,0.20330090647771026
UNP,0.08929778795867671
UPS,0.11185364365666217
URI,0.3559311841853292
USB,-0.037966246447809986
V,0.11035832671631063
VLO,0.12042511810310264
VMC,0.14827636476884276
VRSK,0.12514999329306664
VRSN,0.012420938890746358
VRTX,0.2019203380966348
VTR,-0.01593874076002455
VZ,-0.0592981243413817
WAB,0.1236553606062385
WAT,0.09950294820159211
WBA,-0.12722477522001885
WDC,0.015474859981637001
WEC,0.03620785059894005
WELL,0.06723803844403808
WFC,0.023452745336521197
WM,0.1306233221725548
WMB,0.0920184298740312
WMT,0.13327660625231874
WRB,0.14533797612091104
WRK,0.26691010649686975
WTW,0.01197475934945591
WY,0.08866413534562168
WYNN,-0.08962819705821456
XEL,0.03531051965366716
XOM,0.10948485029168431
XYL,0.07847802795922565
YUM,0.06659605552341552
ZBH,0.011639328776030133
ZTS,0.15643978143966164
